id,first_name,last_name,email,gender,math_score,physics_score,chemistry_score,path_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,fee_paid,fee_pending,fee_due_date,debar_risk
1,Yutika,Sagar,yutika.sagar@example.com,Female,26,97,74,Yes,51,Yes,15,Doctor,56130,43870,2025-07-18,Low Attendance
2,Charles,Barad,charles.barad@example.com,Male,92,27,100,Yes,61,No,1,Artist,95088,4912,2025-06-26,Low Attendance
3,Pranav,Bala,pranav.bala@example.com,Male,93,22,55,No,74,No,30,Teacher,26264,73736,2025-05-23,"Low Attendance, Fee Default, Admin Debar"
4,Joshua,Batra,joshua.batra@example.com,Female,43,32,66,No,74,Yes,15,Teacher,65516,34484,2025-05-15,Low Attendance
5,Bhavna,Nadig,bhavna.nadig@example.com,Male,36,52,58,Yes,48,No,21,Entrepreneur,81664,18336,2025-12-18,Low Attendance
6,Indali,Hayre,indali.hayre@example.com,Female,90,99,42,Yes,51,No,17,Doctor,52511,47489,2025-05-31,Low Attendance
7,Bakhshi,Memon,bakhshi.memon@example.com,Male,24,36,27,Yes,34,No,21,Doctor,30998,69002,2025-08-21,"Low Average Marks, Multiple Failures, Fee Default"
8,Faris,Jayaraman,faris.jayaraman@example.com,Female,32,8,36,No,62,Yes,26,Entrepreneur,75253,24747,2025-06-03,"Low Attendance, Low Average Marks, Multiple Failures, High Risk Combo"
9,Prisha,Merchant,prisha.merchant@example.com,Male,26,20,21,Yes,69,No,21,Teacher,61087,38913,2025-08-06,"Low Attendance, Low Average Marks, Multiple Failures, High Risk Combo"
10,Megha,Tiwari,megha.tiwari@example.com,Male,30,36,34,Yes,51,No,16,Scientist,36239,63761,2025-09-29,"Low Attendance, Low Average Marks, Multiple Failures, High Risk Combo"
11,Robert,Luthra,robert.luthra@example.com,Female,13,31,30,No,48,Yes,2,Doctor,54021,45979,2025-11-16,"Low Attendance, Low Average Marks, Multiple Failures, Low Study + Low Marks, High Risk Combo"
12,Maanas,Bath,maanas.bath@example.com,Female,27,31,19,No,31,Yes,5,Scientist,34734,65266,2025-10-08,"Low Average Marks, Multiple Failures, Low Study + Low Marks"
13,Om,Pant,om.pant@example.com,Male,40,23,77,No,33,Yes,27,Scientist,82500,17500,2025-07-31,Multiple Failures
